created_at,forks,issues,name,pushed_at,stars,updated_at,url,watchers
2015-10-12 16:32:21,1,0,amoghe/distillog,2017-11-28 08:09:18,1,2017-11-30 01:30:11,https://github.com/amoghe/distillog,1
2017-06-21 13:26:16,2,0,kpango/glg,2017-11-27 23:53:18,5,2017-12-12 13:13:17,https://github.com/kpango/glg,5
2013-07-16 04:33:04,348,2,golang/glog,2017-10-27 09:27:39,1618,2017-12-17 02:49:37,https://github.com/golang/glog,1618
2017-02-04 09:02:55,0,0,utahta/go-cronowriter,2017-11-24 09:44:03,4,2017-11-14 02:43:34,https://github.com/utahta/go-cronowriter,4
2014-05-18 03:41:55,7,1,siddontang/go-log,2014-08-18 08:46:32,15,2017-12-15 23:14:06,https://github.com/siddontang/go-log,15
2014-05-02 00:34:09,10,2,ian-kent/go-log,2016-12-09 05:25:18,24,2017-07-25 06:30:04,https://github.com/ian-kent/go-log,24
2014-09-26 04:57:06,23,2,apsdehal/go-logger,2017-01-28 02:38:58,169,2017-12-04 02:25:32,https://github.com/apsdehal/go-logger,169
2015-09-02 08:52:26,4,0,sadlil/gologger,2017-05-23 12:59:01,27,2017-11-23 14:59:01,https://github.com/sadlil/gologger,27
2015-08-30 15:51:46,0,5,aphistic/gomol,2017-10-17 18:29:50,9,2017-12-15 23:14:29,https://github.com/aphistic/gomol,9
2017-08-23 07:06:09,1,0,ssgreg/journald,2017-12-05 05:50:44,2,2017-12-16 04:07:08,https://github.com/ssgreg/journald,2
2015-12-21 20:27:48,45,12,apex/log,2017-10-24 18:19:37,474,2017-12-15 11:57:52,https://github.com/apex/log,474
2016-02-07 16:17:48,16,3,go-playground/log,2017-05-22 00:18:35,227,2017-12-15 09:19:21,https://github.com/go-playground/log,227
2017-10-28 19:57:55,0,0,teris-io/log,2017-12-04 18:53:45,13,2017-11-16 18:19:29,https://github.com/teris-io/log,13
2015-03-29 11:05:09,7,9,firstrow/logvoyage,2017-05-24 19:48:17,73,2017-11-15 14:42:59,https://github.com/firstrow/logvoyage,73
2014-05-20 00:11:52,87,36,inconshreveable/log15,2017-12-15 16:28:58,661,2017-12-12 02:25:52,https://github.com/inconshreveable/log15,661
2017-01-13 15:34:31,0,0,ewwwwwqm/logdump,2017-01-17 12:32:14,4,2017-05-25 05:17:24,https://github.com/ewwwwwqm/logdump,4
2014-10-10 06:38:39,6,0,chzyer/logex,2017-03-29 06:49:08,30,2017-12-05 00:20:52,https://github.com/chzyer/logex,30
2014-09-30 06:45:09,11,0,azer/logger,2017-10-21 18:11:51,93,2017-12-13 09:32:22,https://github.com/azer/logger,93
2017-02-07 18:02:55,0,0,mbndr/logo,2017-10-19 19:33:23,1,2017-09-06 22:40:45,https://github.com/mbndr/logo,1
2014-09-11 23:27:11,9,1,sebest/logrusly,2017-11-14 06:29:06,17,2017-06-20 14:13:43,https://github.com/sebest/logrusly,17
2013-10-16 19:08:55,842,119,sirupsen/logrus,2017-12-05 20:32:42,6147,2017-12-16 19:21:24,https://github.com/sirupsen/logrus,6147
2013-10-09 07:31:15,18,2,hashicorp/logutils,2015-06-09 07:04:56,185,2017-12-15 23:13:58,https://github.com/hashicorp/logutils,185
2015-03-01 22:13:45,31,20,mgutz/logxi,2017-05-12 18:13:11,315,2017-12-15 23:11:39,https://github.com/mgutz/logxi,315
2014-06-14 11:55:47,96,11,natefinch/lumberjack,2017-12-14 06:04:37,661,2017-12-17 01:29:14,https://github.com/natefinch/lumberjack,661
2014-10-20 15:06:26,11,0,jbrodriguez/mlog,2016-05-01 15:51:40,12,2017-09-28 18:36:04,https://github.com/jbrodriguez/mlog,12
2015-10-22 22:29:02,20,7,go-ozzo/ozzo-log,2017-12-06 18:47:42,76,2017-12-07 01:29:24,https://github.com/go-ozzo/ozzo-log,76
2011-11-17 09:43:15,180,31,cihub/seelog,2017-09-26 10:28:26,1031,2017-12-16 14:11:58,https://github.com/cihub/seelog,1031
2013-01-09 05:18:22,114,15,davecgh/go-spew,2017-10-05 15:54:32,1715,2017-12-16 16:24:57,https://github.com/davecgh/go-spew,1715
2014-04-19 14:31:56,4,1,alexcesaro/log,2015-09-15 22:13:22,43,2017-10-25 16:34:49,https://github.com/alexcesaro/log,43
2013-02-05 00:28:03,210,33,hpcloud/tail,2017-11-17 16:30:01,885,2017-12-16 17:46:21,https://github.com/hpcloud/tail,885
2016-05-05 16:47:45,0,0,xfxdev/xlog,2017-01-10 16:36:37,1,2017-02-25 15:05:28,https://github.com/xfxdev/xlog,1
2015-10-22 09:26:45,8,1,rs/xlog,2017-08-13 19:08:32,118,2017-12-13 04:24:55,https://github.com/rs/xlog,118
2016-02-18 19:52:56,204,26,uber-go/zap,2017-12-07 22:59:52,3113,2017-12-17 03:28:03,https://github.com/uber-go/zap,3113
2017-05-12 05:24:39,32,8,rs/zerolog,2017-12-14 18:33:32,620,2017-12-17 03:15:54,https://github.com/rs/zerolog,620
